individual_id,breed_from_dicom_dir
205629,Duroc
205631,Duroc
205660,Duroc
205674,Duroc
205682,Duroc
205754,Duroc
205755,Duroc
205764,Duroc
205765,Duroc
205784,Duroc
205790,Duroc
205792,Duroc
205795,Duroc
205805,Duroc
205806,Duroc
205814,Duroc
205817,Duroc
205819,Duroc
205826,Duroc
205827,Duroc
205832,Duroc
205835,Duroc
205836,Duroc
205838,Duroc
205839,Duroc
205841,Duroc
205842,Duroc
205847,Duroc
205856,Duroc
205870,Duroc
205908,Duroc
205912,Duroc
205929,Duroc
205944,Duroc
205963,Duroc
205965,Duroc
205969,Duroc
205971,Duroc
205976,Duroc
205979,Duroc
205984,Duroc
205985,Duroc
205986,Duroc
205993,Duroc
206105,Duroc
206110,Duroc
206111,Duroc
206113,Duroc
206114,Duroc
206117,Duroc
206118,Duroc
206119,Duroc
206120,Duroc
206127,Duroc
206129,Duroc
206134,Duroc
206149,Duroc
206150,Duroc
206168,Duroc
206178,Duroc
206192,Duroc
206195,Duroc
206199,Duroc
206210,Duroc
206215,Duroc
206227,Duroc
206235,Duroc
206237,Duroc
206240,Duroc
206245,Duroc
206246,Duroc
206249,Duroc
206253,Duroc
206274,Duroc
206330,Duroc
206391,Duroc
206545,Duroc
206547,Duroc
206549,Duroc
206553,Duroc
206555,Duroc
206558,Duroc
206563,Duroc
206581,Duroc
206583,Duroc
206585,Duroc
206589,Duroc
206595,Duroc
207501,Duroc
207512,Duroc
207513,Duroc
207514,Duroc
207517,Duroc
207518,Duroc
207530,Duroc
207531,Duroc
207541,Duroc
207549,Duroc
207551,Duroc
207557,Duroc
207632,Duroc
207633,Duroc
207634,Duroc
207639,Duroc
207661,Duroc
207662,Duroc
207669,Duroc
207707,Duroc
207710,Duroc
207711,Duroc
207723,Duroc
207725,Duroc
207735,Duroc
207737,Duroc
207740,Duroc
207741,Duroc
207807,Duroc
207811,Duroc
207812,Duroc
207815,Duroc
207823,Duroc
207829,Duroc
207834,Duroc
207841,Duroc
207847,Duroc
207848,Duroc
207849,Duroc
207855,Duroc
207856,Duroc
207860,Duroc
207863,Duroc
207865,Duroc
207866,Duroc
207869,Duroc
207871,Duroc
207876,Duroc
207878,Duroc
207897,Duroc
207931,Duroc
207948,Duroc
207953,Duroc
207956,Duroc
207960,Duroc
207991,Duroc
207995,Duroc
207996,Duroc
208004,Duroc
208006,Duroc
208012,Duroc
208013,Duroc
208057,Duroc
208081,Duroc
208102,Duroc
208111,Duroc
208117,Duroc
208140,Duroc
208145,Duroc
208148,Duroc
208164,Duroc
208165,Duroc
208192,Duroc
208220,Duroc
208226,Duroc
208227,Duroc
208231,Duroc
208238,Duroc
208239,Duroc
208283,Duroc
208292,Duroc
208297,Duroc
208312,Duroc
208329,Duroc
208330,Duroc
208333,Duroc
208335,Duroc
208342,Duroc
208347,Duroc
208348,Duroc
208349,Duroc
208350,Duroc
208353,Duroc
208354,Duroc
208356,Duroc
208365,Duroc
208366,Duroc
208368,Duroc
208375,Duroc
208384,Duroc
208386,Duroc
208387,Duroc
208393,Duroc
208406,Duroc
208414,Duroc
208418,Duroc
208419,Duroc
208420,Duroc
208446,Duroc
208485,Duroc
208487,Duroc
208488,Duroc
208625,Duroc
208684,Duroc
208686,Duroc
208692,Duroc
208875,Duroc
208883,Duroc
208887,Duroc
208897,Duroc
208900,Duroc
209002,Duroc
209004,Duroc
209006,Duroc
209013,Duroc
209014,Duroc
209022,Duroc
209023,Duroc
209024,Duroc
209035,Duroc
209043,Duroc
209049,Duroc
209050,Duroc
209055,Duroc
209057,Duroc
209060,Duroc
209075,Duroc
209103,Duroc
209107,Duroc
209116,Duroc
209122,Duroc
209130,Duroc
209133,Duroc
209137,Duroc
209139,Duroc
209143,Duroc
209148,Duroc
209154,Duroc
209159,Duroc
209164,Duroc
209171,Duroc
209182,Duroc
209184,Duroc
209188,Duroc
209190,Duroc
209193,Duroc
209194,Duroc
209195,Duroc
209229,Duroc
209243,Duroc
209248,Duroc
209252,Duroc
209256,Duroc
209258,Duroc
209261,Duroc
209278,Duroc
209283,Duroc
209287,Duroc
209298,Duroc
211477,Duroc
211488,Duroc
501550,EB5
501602,EB5
501607,EB5
501608,EB5
501613,EB5
501616,EB5
501626,EB5
501628,EB5
501636,EB5
501642,EB5
501646,EB5
501654,EB5
501658,EB5
501663,EB5
501670,EB5
501671,EB5
501672,EB5
501680,EB5
501681,EB5
501682,EB5
501693,EB5
501695,EB5
501751,EB5
501753,EB5
501755,EB5
501756,EB5
501757,EB5
501758,EB5
501784,EB5
501786,EB5
501787,EB5
501790,EB5
501796,EB5
501802,EB5
501805,EB5
501806,EB5
501809,EB5
501813,EB5
501817,EB5
501819,EB5
501827,EB5
501832,EB5
501836,EB5
501841,EB5
501848,EB5
501851,EB5
501854,EB5
501868,EB5
501869,EB5
501874,EB5
501875,EB5
501876,EB5
501877,EB5
501884,EB5
501888,EB5
501934,EB5
501977,EB5
501996,EB5
502006,EB5
502008,EB5
502009,EB5
502011,EB5
502024,EB5
502206,EB5
502212,EB5
502249,EB5
502250,EB5
502261,EB5
502267,EB5
502270,EB5
502277,EB5
502285,EB5
502286,EB5
502294,EB5
502299,EB5
502301,EB5
502332,EB5
502365,EB5
503202,EB5
503204,EB5
503213,EB5
503218,EB5
503226,EB5
503240,EB5
503275,EB5
503286,EB5
503296,EB5
503297,EB5
503299,EB5
503300,EB5
305393,Landrace
305404,Landrace
305414,Landrace
305486,Landrace
305487,Landrace
305514,Landrace
305515,Landrace
305588,Landrace
305810,Landrace
305835,Landrace
305851,Landrace
305930,Landrace
305931,Landrace
305959,Landrace
308210,Landrace
308221,Landrace
308232,Landrace
308235,Landrace
308240,Landrace
308243,Landrace
308246,Landrace
308249,Landrace
308301,Landrace
308308,Landrace
308320,Landrace
308325,Landrace
308329,Landrace
308347,Landrace
308348,Landrace
308351,Landrace
308354,Landrace
308374,Landrace
308379,Landrace
308393,Landrace
308395,Landrace
308435,Landrace
308468,Landrace
308493,Landrace
308495,Landrace
308577,Landrace
309030,Landrace
309053,Landrace
309059,Landrace
309062,Landrace
309064,Landrace
309065,Landrace
309072,Landrace
309098,Landrace
309202,Landrace
309212,Landrace
309230,Landrace
309244,Landrace
309256,Landrace
309267,Landrace
309274,Landrace
309316,Landrace
309341,Landrace
309353,Landrace
309354,Landrace
309360,Landrace
309406,Landrace
309472,Landrace
309474,Landrace
309486,Landrace
309496,Landrace
309521,Landrace
309524,Landrace
309532,Landrace
309556,Landrace
309562,Landrace
309586,Landrace
309592,Landrace
309613,Landrace
309614,Landrace
309616,Landrace
309619,Landrace
309620,Landrace
309634,Landrace
309638,Landrace
309642,Landrace
309750,Landrace
309782,Landrace
309785,Landrace
309788,Landrace
309821,Landrace
309834,Landrace
309836,Landrace
309840,Landrace
309849,Landrace
309855,Landrace
309858,Landrace
309860,Landrace
309936,Landrace
309937,Landrace
311732,Landrace
311761,Landrace
311780,Landrace
311788,Landrace
311808,Landrace
311810,Landrace
311818,Landrace
311825,Landrace
311868,Landrace
311891,Landrace
311917,Landrace
311943,Landrace
311945,Landrace
311949,Landrace
311959,Landrace
311961,Landrace
311963,Landrace
311974,Landrace
311988,Landrace
312333,Landrace
312353,Landrace
312359,Landrace
312910,Landrace
312931,Landrace
312941,Landrace
312948,Landrace
312959,Landrace
312974,Landrace
313066,Landrace
313109,Landrace
313110,Landrace
313112,Landrace
313113,Landrace
313117,Landrace
313120,Landrace
313122,Landrace
313124,Landrace
313127,Landrace
313154,Landrace
313159,Landrace
313163,Landrace
313180,Landrace
313189,Landrace
313192,Landrace
313195,Landrace
313196,Landrace
313226,Landrace
313230,Landrace
313300,Landrace
313400,Landrace
314080,Landrace
314088,Landrace
314089,Landrace
314663,Landrace
315402,Landrace
315407,Landrace
315417,Landrace
315419,Landrace
315420,Landrace
315448,Landrace
316731,Landrace
403046,Pietrain
403047,Pietrain
403050,Pietrain
403207,Pietrain
403278,Pietrain
403289,Pietrain
403290,Pietrain
403300,Pietrain
403308,Pietrain
403320,Pietrain
403321,Pietrain
403339,Pietrain
403353,Pietrain
403357,Pietrain
403364,Pietrain
403368,Pietrain
403372,Pietrain
403389,Pietrain
403390,Pietrain
403401,Pietrain
403529,Pietrain
403548,Pietrain
403551,Pietrain
403554,Pietrain
403555,Pietrain
403564,Pietrain
403576,Pietrain
404638,Pietrain
404644,Pietrain
404710,Pietrain
404715,Pietrain
404717,Pietrain
404725,Pietrain
404728,Pietrain
404738,Pietrain
404745,Pietrain
404756,Pietrain
404758,Pietrain
404762,Pietrain
404767,Pietrain
404785,Pietrain
404790,Pietrain
404794,Pietrain
404898,Pietrain
404952,Pietrain
404960,Pietrain
404982,Pietrain
404987,Pietrain
404988,Pietrain
404990,Pietrain
405481,Pietrain
405518,Pietrain
405544,Pietrain
405688,Pietrain
405709,Pietrain
405716,Pietrain
405735,Pietrain
405738,Pietrain
405760,Pietrain
405764,Pietrain
405766,Pietrain
405800,Pietrain
405857,Pietrain
405860,Pietrain
405903,Pietrain
405904,Pietrain
405906,Pietrain
405908,Pietrain
405927,Pietrain
405948,Pietrain
405968,Pietrain
406132,Pietrain
406291,Pietrain
406292,Pietrain
406293,Pietrain
406630,Pietrain
406632,Pietrain
406637,Pietrain
406657,Pietrain
406674,Pietrain
406676,Pietrain
406690,Pietrain
406707,Pietrain
406718,Pietrain
406726,Pietrain
406743,Pietrain
406764,Pietrain
406785,Pietrain
406789,Pietrain
406793,Pietrain
406807,Pietrain
406808,Pietrain
406809,Pietrain
406812,Pietrain
406821,Pietrain
406822,Pietrain
406824,Pietrain
406854,Pietrain
406855,Pietrain
406863,Pietrain
406865,Pietrain
406868,Pietrain
406872,Pietrain
119477,Yorkshire
119485,Yorkshire
119631,Yorkshire
119642,Yorkshire
119796,Yorkshire
119930,Yorkshire
119942,Yorkshire
119947,Yorkshire
119986,Yorkshire
120010,Yorkshire
120538,Yorkshire
120618,Yorkshire
132788,Yorkshire
132831,Yorkshire
133080,Yorkshire
133140,Yorkshire
133249,Yorkshire
133338,Yorkshire
133355,Yorkshire
133390,Yorkshire
133486,Yorkshire
133503,Yorkshire
133505,Yorkshire
133532,Yorkshire
133682,Yorkshire
134061,Yorkshire
134084,Yorkshire
134359,Yorkshire
134364,Yorkshire
134369,Yorkshire
134726,Yorkshire
134730,Yorkshire
134732,Yorkshire
135306,Yorkshire
135434,Yorkshire
136018,Yorkshire
136021,Yorkshire
136032,Yorkshire
136128,Yorkshire
136149,Yorkshire
136165,Yorkshire
136194,Yorkshire
136196,Yorkshire
136197,Yorkshire
136199,Yorkshire
136257,Yorkshire
136288,Yorkshire
136349,Yorkshire
136380,Yorkshire
136393,Yorkshire
136463,Yorkshire
136470,Yorkshire
136514,Yorkshire
136518,Yorkshire
136522,Yorkshire
136529,Yorkshire
136584,Yorkshire
136622,Yorkshire
136661,Yorkshire
136810,Yorkshire
136817,Yorkshire
136829,Yorkshire
136902,Yorkshire
137159,Yorkshire
137161,Yorkshire
137163,Yorkshire
137197,Yorkshire
137319,Yorkshire
137370,Yorkshire
137797,Yorkshire
137927,Yorkshire
138179,Yorkshire
138474,Yorkshire
138993,Yorkshire
140025,Yorkshire
140027,Yorkshire
140060,Yorkshire
140064,Yorkshire
140067,Yorkshire
140068,Yorkshire
140071,Yorkshire
140090,Yorkshire
140127,Yorkshire
140137,Yorkshire
140160,Yorkshire
140167,Yorkshire
140171,Yorkshire
140176,Yorkshire
140188,Yorkshire
140265,Yorkshire
140272,Yorkshire
140274,Yorkshire
140309,Yorkshire
140342,Yorkshire
140357,Yorkshire
140358,Yorkshire
140379,Yorkshire
140547,Yorkshire
140654,Yorkshire
140657,Yorkshire
140661,Yorkshire
140710,Yorkshire
140748,Yorkshire
140749,Yorkshire
140765,Yorkshire
140768,Yorkshire
140778,Yorkshire
140779,Yorkshire
140783,Yorkshire
140837,Yorkshire
140841,Yorkshire
140884,Yorkshire
140913,Yorkshire
141023,Yorkshire
141042,Yorkshire
141052,Yorkshire
141059,Yorkshire
141066,Yorkshire
141076,Yorkshire
141113,Yorkshire
141148,Yorkshire
141157,Yorkshire
141242,Yorkshire
141336,Yorkshire
141415,Yorkshire
141441,Yorkshire
141454,Yorkshire
141470,Yorkshire
141471,Yorkshire
141531,Yorkshire
141626,Yorkshire
141656,Yorkshire
141677,Yorkshire
141680,Yorkshire
141689,Yorkshire
141693,Yorkshire
141705,Yorkshire
141861,Yorkshire
144713,Yorkshire
145331,Yorkshire
145573,Yorkshire
146230,Yorkshire
146235,Yorkshire
146239,Yorkshire
146242,Yorkshire
146245,Yorkshire
146246,Yorkshire
146252,Yorkshire
146265,Yorkshire
146303,Yorkshire
146354,Yorkshire
146363,Yorkshire
146374,Yorkshire
146378,Yorkshire
146387,Yorkshire
146388,Yorkshire
146477,Yorkshire
146478,Yorkshire
146479,Yorkshire
146482,Yorkshire
146484,Yorkshire
146487,Yorkshire
146492,Yorkshire
146534,Yorkshire
146549,Yorkshire
146552,Yorkshire
146555,Yorkshire
146563,Yorkshire
146601,Yorkshire
146792,Yorkshire
146852,Yorkshire
146853,Yorkshire
146934,Yorkshire
146995,Yorkshire
147746,Yorkshire
147943,Yorkshire
148296,Yorkshire
148514,Yorkshire
148517,Yorkshire
148571,Yorkshire
148621,Yorkshire
148628,Yorkshire
148646,Yorkshire
148702,Yorkshire
148849,Yorkshire
148890,Yorkshire
151379,Yorkshire
151516,Yorkshire
151525,Yorkshire
151537,Yorkshire
151558,Yorkshire
151568,Yorkshire
151778,Yorkshire
151780,Yorkshire
151796,Yorkshire
151806,Yorkshire
151940,Yorkshire
151954,Yorkshire
152091,Yorkshire
152098,Yorkshire
152105,Yorkshire
152107,Yorkshire
152154,Yorkshire
152159,Yorkshire
152200,Yorkshire
152266,Yorkshire
152290,Yorkshire
152306,Yorkshire
152317,Yorkshire
152318,Yorkshire
152320,Yorkshire
152340,Yorkshire
152345,Yorkshire
152356,Yorkshire
152363,Yorkshire
152367,Yorkshire
152368,Yorkshire
152369,Yorkshire
152377,Yorkshire
152378,Yorkshire
152382,Yorkshire
152402,Yorkshire
152406,Yorkshire
152414,Yorkshire
152467,Yorkshire
152468,Yorkshire
152473,Yorkshire
152494,Yorkshire
152505,Yorkshire
152519,Yorkshire
152520,Yorkshire
152524,Yorkshire
152544,Yorkshire
152549,Yorkshire
152595,Yorkshire
152600,Yorkshire
152751,Yorkshire
152772,Yorkshire
152871,Yorkshire
